depth2,depth3,polywidth2,polywidth3,resonance2,resonance3,q_factor2,q_factor3
2,3,0.1,0.1,298.678,224.1245,7.698728,7.712818
2,3,0.2,0.2,424.4762,317.9134,10.9413,10.94038
2,3,0.3,0.3,522.4836,390.2761,13.46754,13.43061
2,3,0.4,0.4,606.2109,452.0269,15.6257,15.55564
2,3,0.5,0.5,680.8705,506.9355,17.55012,17.44522
2,3,0.6,0.6,749.3343,556.6527,19.31485,19.15614
2,3,0.7,0.7,813.2145,602.706,20.96142,20.74098
2,3,0.8,0.8,873.2835,646.3426,22.50976,22.24265
2,3,0.9,0.9,930.5067,687.2308,23.98475,23.64974
2,3,1,1,985.0973,726.1931,25.39188,24.99055
2,3,0.1,0.1,320.6455,241.0937,9.121477,8.807496
2,3,0.2,0.2,455.7868,342.0244,12.96587,12.49464
2,3,0.3,0.3,560.9653,419.9156,15.95791,15.34011
2,3,0.4,0.4,650.7838,486.4155,18.513,17.76945
2,3,0.5,0.5,731.0705,545.1773,20.79693,19.9161
2,3,0.6,0.6,804.7373,598.7025,22.89255,21.87145
2,3,0.7,0.7,873.2298,648.7687,24.84097,23.70044
2,3,0.8,0.8,937.6009,695.3208,26.67215,25.40106
2,3,0.9,0.9,998.8956,739.3812,28.41581,27.01065
2,3,1,1,1057.6884,781.379,30.088304,28.54488
2,3,0.1,0.1,344.6179,259.5859,10.54351,9.907195
2,3,0.2,0.2,489.8147,368.3052,14.98577,14.05651
2,3,0.3,0.3,602.7788,452.2282,18.44188,17.25946
2,3,0.4,0.4,699.4317,523.5268,21.39896,19.9806
2,3,0.5,0.5,785.6236,587.2681,24.03598,22.41331
2,3,0.6,0.6,864.6792,644.9951,26.45467,24.61648
2,3,0.7,0.7,938.4573,698.501,28.71189,26.65856
2,3,0.8,0.8,1007.8282,748.7008,30.83428,28.57445
2,3,0.9,0.9,1073.5547,796.229,32.845168,30.38838
2,3,1,1,1136.5692,841.5469,34.773081,32.11796
2,3,0.1,0.1,370.7644,280.0213,11.96806,11.02494
2,3,0.2,0.2,526.9223,397.0549,17.00875,15.63276
2,3,0.3,0.3,648.5815,487.5833,20.93584,19.19702
2,3,0.4,0.4,752.4908,564.5196,24.28998,22.22614
2,3,0.5,0.5,845.111,632.8534,27.2797,24.91656
2,3,0.6,0.6,930.346,695.1384,30.03104,27.36883
2,3,0.7,0.7,1009.5929,752.8886,32.589089,29.64256
2,3,0.8,0.8,1084.0624,807.0889,34.992922,31.77652
2,3,0.9,0.9,1154.9824,858.4225,37.28218,33.79761
2,3,1,1,1222.5785,907.3859,39.464142,35.72539
2,3,0.1,0.1,399.2529,302.2506,13.3961,12.15013
2,3,0.2,0.2,567.5343,428.6257,19.04243,17.23026
2,3,0.3,0.3,698.4902,526.4154,23.43639,21.1613
2,3,0.4,0.4,810.2907,609.5532,27.18762,24.50334
2,3,0.5,0.5,910.53,683.4224,30.55094,27.4728
2,3,0.6,0.6,1001.8814,750.1723,33.616051,30.15607
2,3,0.7,0.7,1087.0626,812.593,36.474129,32.66531
2,3,0.8,0.8,1167.4803,871.1982,39.172375,35.02117
2,3,0.9,0.9,1244.1128,926.7244,41.743622,37.25326
2,3,1,1,1317.1858,978.8969,44.195434,39.35054
2,3,0.1,0.1,430.6861,326.7543,14.84125,13.29495
2,3,0.2,0.2,612.1504,463.4342,21.09442,18.85616
2,3,0.3,0.3,753.3086,569.2394,25.95867,23.16115
2,3,0.4,0.4,874.0748,658.6804,30.12021,26.80032
2,3,0.5,0.5,982.082,738.5976,33.84209,30.05198
2,3,0.6,0.6,1080.8423,811.4962,37.245328,33.01807
2,3,0.7,0.7,1172.5584,878.3966,40.405821,35.74011
2,3,0.8,0.8,1259.1044,941.8726,43.388156,38.32281
2,3,0.9,0.9,1341.5367,1002.0379,46.228735,40.770811
2,3,1,1,1420.6264,1058.5584,48.954132,43.070512
2,3,0.1,0.1,465.3642,353.8807,16.30517,14.46465
2,3,0.2,0.2,661.3629,501.9773,23.17246,20.51801
2,3,0.3,0.3,813.762,616.1392,28.51213,25.1843
2,3,0.4,0.4,944.4415,713.6391,33.09081,29.16954
2,3,0.5,0.5,1061.0017,800.34,37.174778,32.71339
2,3,0.6,0.6,1167.5222,878.6909,40.906982,35.91593
2,3,0.7,0.7,1266.8673,952.0708,44.38778,38.91529
2,3,0.8,0.8,1360.6753,1020.1183,47.67457,41.69669
